id,kind,mark
i000,lantern,q7
i001,lantern,q7
i002,lantern,q7
i003,lantern,q7
i004,lantern,q7
i005,lantern,q7
i006,lantern,q7
i007,lantern,q7
i008,lantern,q7
i009,lantern,q7
i010,lantern,q7
i011,lantern,q7
i012,lantern,q7
i013,lantern,q7
i014,lantern,q7
i015,lantern,q7
i016,lantern,q7
i017,lantern,q7
i018,lantern,q7
i019,lantern,q7
i020,lantern,q7
i021,lantern,q7
i022,lantern,q7
i023,lantern,q7
i024,lantern,q7
i025,lantern,q7
i026,lantern,q7
i027,lantern,q7
i028,lantern,q7
i029,lantern,q7
i030,lantern,q7
j000,kettle,b2
j001,umbrella,r4
j002,lantern,p1
