id,name,species
v000,Bramble,bear
v001,Clover,bunny
v002,Rusty,fox
v003,Pip,owl
v004,Fern,deer
v005,Mochi,cat
v006,Ember,dragon
v007,Biscuit,dog
v008,Juniper,deer
v009,Marlow,otter
v010,Tansy,mouse
v011,Wick,moth
v012,Bramble 2,bear
v013,Clover 2,bunny
v014,Rusty 2,fox
v015,Pip 2,owl
v016,Fern 2,deer
v017,Mochi 2,cat
v018,Ember 2,dragon
v019,Biscuit 2,dog
v020,Juniper 2,deer
v021,Marlow 2,otter
v022,Tansy 2,mouse
v023,Wick 2,moth
v024,Bramble 3,bear
v025,Clover 3,bunny
v026,Rusty 3,fox
v027,Pip 3,owl
v028,Fern 3,deer
v029,Mochi 3,cat
v030,Ember 3,dragon
o000,Someone 0,mouse
o001,Someone 1,mouse
o002,Someone 2,mouse
